name,source,source_book,best_candidate,similarity
Sure Strike,PHB2,Player's Handbook II,true strike,0.818
Thunder Field,PHB2,Player's Handbook II,feather fall,0.56
Toxic Weapon,PHB2,Player's Handbook II,sonic weapon,0.833
Trollshape,PHB2,Player's Handbook II,tree shape,0.7
Vertigo,PHB2,Player's Handbook II,vigor,0.667
Vertigo Field,PHB2,Player's Handbook II,antimagic field,0.643
Visions of the Future,PHB2,Player's Handbook II,vision of heaven,0.703
Whelm,PHB2,Player's Handbook II,heal,0.667
"Whelm, Mass",PHB2,Player's Handbook II,"heal, mass",0.857
Whelming Blast,PHB2,Player's Handbook II,repelling blast,0.759
Wrack Earth,PHB2,Player's Handbook II,wracking touch,0.64
Rejuvenative Corpse,SC,Spell Compendium,rejuvenation cocoon,0.684
Solipism,SC,Spell Compendium,spikes,0.571
Acid Breath,SC,Spell Compendium,fire breath,0.727
Acid Sheath,SC,Spell Compendium,find the path,0.667
Acid Storm,SC,Spell Compendium,blade storm,0.762
"Aid, Mass",SC,Spell Compendium,"harm, mass",0.737
Air Breathing,SC,Spell Compendium,water breathing,0.857
"Alarm, Greater",SC,Spell Compendium,"harm, greater",0.889
Align Fang,SC,Spell Compendium,align weapon,0.727
"Align Fang, Mass",SC,Spell Compendium,"heal, mass",0.615
"Align Weapon, Mass",SC,Spell Compendium,align weapon,0.8
Allegro,SC,Spell Compendium,hallow,0.615
Amanuensis,SC,Spell Compendium,magnetism,0.632
Amorphous Form,SC,Spell Compendium,gaseous form,0.692
Amplify,SC,Spell Compendium,valiant fury,0.526
Angelskin,SC,Spell Compendium,stoneskin,0.667
Animate Snow,SC,Spell Compendium,animate rope,0.75
Anticold Sphere,SC,Spell Compendium,prismatic sphere,0.71
Anyspell,SC,Spell Compendium,dispel law,0.556
"Anyspell, Greater",SC,Spell Compendium,"planar ally, greater",0.703
Appraising Touch,SC,Spell Compendium,wracking touch,0.733
Armor of Darkness,SC,Spell Compendium,sword of darkness,0.824
Aspect of the Earth Hunter,SC,Spell Compendium,"aspect of the deity, lesser",0.717
Aspect of the Wolf,SC,Spell Compendium,aspect of the deity,0.757
Assay Spell Resistance,SC,Spell Compendium,assay resistance,0.842
Aura Against Flame,SC,Spell Compendium,magic circle against law,0.619
Aura of Glory,SC,Spell Compendium,aura of terror,0.741
Aura of Vitality,SC,Spell Compendium,aura of evasion,0.645
Avasculate,SC,Spell Compendium,avascular,0.842
Awaken Construct,SC,Spell Compendium,"awaken, mass",0.571
Awaken Sin,SC,Spell Compendium,awaken,0.75
Backlash,SC,Spell Compendium,acid splash,0.632
Baleful Transposition,SC,Spell Compendium,baleful utterance,0.632
Ball Lightning,SC,Spell Compendium,call lightning,0.929
Battering Ram,SC,Spell Compendium,withering palm,0.667
Battle Hymn,SC,Spell Compendium,attune form,0.545
Benign Transposition,SC,Spell Compendium,transformation,0.588
Bite of the Werebear,SC,Spell Compendium,bite of the king,0.667
Bite of the Wereboar,SC,Spell Compendium,bite of the king,0.667
Bite of the Wererat,SC,Spell Compendium,bite of the king,0.686
Bite of the Weretiger,SC,Spell Compendium,bite of the king,0.757
Bite of the Werewolf,SC,Spell Compendium,bite of the king,0.667
Black Blade of Disaster,SC,Spell Compendium,blades of fire,0.595
Blacklight,SC,Spell Compendium,blight,0.75
Blade Thirst,SC,Spell Compendium,blade storm,0.696
Bladeweave,SC,Spell Compendium,slime wave,0.6
"Bless Weapon, Swift",SC,Spell Compendium,bless weapon,0.774
Blinding Spittle,SC,Spell Compendium,blinding glory,0.667
Blindsight,SC,Spell Compendium,hindsight,0.842
"Blindsight, Greater",SC,Spell Compendium,"blink, greater",0.788
Blood Frenzy,SC,Spell Compendium,abyssal frenzy,0.692
Blood Sirocco,SC,Spell Compendium,bloodstar,0.636
Blood to Water,SC,Spell Compendium,bloodstar,0.696
Blood Wind,SC,Spell Compendium,second wind,0.667
Bloodhound,SC,Spell Compendium,bestow wound,0.545
Body Blades,SC,Spell Compendium,ring of blades,0.64
Body Harmonic,SC,Spell Compendium,harmonize,0.636
Body of War,SC,Spell Compendium,symbol of fear,0.64
Bombardment,SC,Spell Compendium,banishment,0.571
Bonefiddle,SC,Spell Compendium,zone of silence,0.56
Breath of the Jungle,SC,Spell Compendium,breath of the night,0.821
Bristle,SC,Spell Compendium,fabricate,0.625
Buoyant Lifting,SC,Spell Compendium,chain lightning,0.6
Burning Sword,SC,Spell Compendium,burning blood,0.769
Burrow,SC,Spell Compendium,blur,0.6
"Burrow, Mass",SC,Spell Compendium,"harm, mass",0.636
Buzzing Bee,SC,Spell Compendium,rebuking breath,0.615
Cacophonic Burst,SC,Spell Compendium,cacophonic shield,0.727
Caltrops,SC,Spell Compendium,calm emotions,0.571
Capricious Zephyr,SC,Spell Compendium,cause fear,0.519
Cast in Stone,SC,Spell Compendium,heart of stone,0.667
Celebration,SC,Spell Compendium,elation,0.778
Chain Missile,SC,Spell Compendium,magic missile,0.692
Charge of the Triceratops,SC,Spell Compendium,shield of the archons,0.609
Checkmate's Light,SC,Spell Compendium,city's might,0.621
Circle Dance,SC,Spell Compendium,circle of death,0.667
Clarity of Mind,SC,Spell Compendium,arrow mind,0.64
Claws of the Bear,SC,Spell Compendium,cloak of the sea,0.788
Claws of Darkness,SC,Spell Compendium,sword of darkness,0.765
Clear Mind,SC,Spell Compendium,arrow mind,0.7
Climb Walls,SC,Spell Compendium,calm animals,0.609
Cloak of Dark Power,SC,Spell Compendium,cloak of hate,0.688
Close Wounds,SC,Spell Compendium,cure serious wounds,0.645
Cloud of Bewilderment,SC,Spell Compendium,bolts of bedevilment,0.634
Cloud Wings,SC,Spell Compendium,demon wings,0.636
Cocoon,SC,Spell Compendium,clone,0.545
Cold Fire,SC,Spell Compendium,orb of fire,0.6
Cold Snap,SC,Spell Compendium,wood shape,0.632
Combust,SC,Spell Compendium,cloudburst,0.706
Cone of Dimness,SC,Spell Compendium,cone of cold,0.667
"Contagion, Mass",SC,Spell Compendium,contagion,0.75
Contagious Fog,SC,Spell Compendium,contagious touch,0.8
Conviction,SC,Spell Compendium,contagion,0.737
"Conviction, Mass",SC,Spell Compendium,"darkvision, mass",0.688
Corona of Cold,SC,Spell Compendium,cone of cold,0.846
Corrosive Grasp,SC,Spell Compendium,rusting grasp,0.643
Countermoon,SC,Spell Compendium,contagion,0.6
Crabwalk,SC,Spell Compendium,dream walk,0.667
Crawling Darkness,SC,Spell Compendium,creeping darkness,0.824
Creaking Cacophony,SC,Spell Compendium,rejuvenation cocoon,0.595
Create Magic Tattoo,SC,Spell Compendium,read magic,0.621
"Curse of Ill Fortune, Mass",SC,Spell Compendium,curse of ill fortune,0.87
Curse of Impending Blades,SC,Spell Compendium,cursed blade,0.649
"Curse of Impending Blades, Mass",SC,Spell Compendium,"cure serious wounds, mass",0.571
Cutting Hand,SC,Spell Compendium,crushing hand,0.8
Cyclonic Blast,SC,Spell Compendium,ice blast,0.696
Dark Way,SC,Spell Compendium,air walk,0.625
Darkfire,SC,Spell Compendium,blackfire,0.706
Dawn,SC,Spell Compendium,awaken,0.6
Dead End,SC,Spell Compendium,demand,0.714
Deadfall,SC,Spell Compendium,feather fall,0.6
Deafening Clang,SC,Spell Compendium,deafening breath,0.71
Death Armor,SC,Spell Compendium,death ward,0.762
Decoy Image,SC,Spell Compendium,project image,0.667
Deep Breath,SC,Spell Compendium,deafening breath,0.741
Deeper Darkvision,SC,Spell Compendium,deeper darkness,0.75
Dehydrate,SC,Spell Compendium,desecrate,0.667
Delay Disease,SC,Spell Compendium,delay death,0.75
Delusions of Grandeur,SC,Spell Compendium,pavilion of grandeur,0.78
Demonhide,SC,Spell Compendium,demon dirge,0.7
Desiccating Bubble,SC,Spell Compendium,resonating bolt,0.606
Diamondsteel,SC,Spell Compendium,daze monster,0.667
"Dimension Door, Greater",SC,Spell Compendium,dimension door,0.757
Dinosaur Stampede,SC,Spell Compendium,distort speech,0.581
Dire Hunger,SC,Spell Compendium,refuge,0.588
Dirge,SC,Spell Compendium,rage,0.667
Disguise Undead,SC,Spell Compendium,disrupt undead,0.759
Dispel Ward,SC,Spell Compendium,dispel law,0.762
Dispelling Screen,SC,Spell Compendium,dispelling breath,0.765
"Dispelling Screen, Greater",SC,Spell Compendium,"otiluke's dissolving screen, greater",0.742
Displacer Form,SC,Spell Compendium,displacement,0.692
Disquietude,SC,Spell Compendium,disrupt undead,0.64
"Disrupt Undead, Greater",SC,Spell Compendium,disrupt undead,0.757
Dissonant Chant,SC,Spell Compendium,dissonant chord,0.8
Distract,SC,Spell Compendium,disintegrate,0.7
Distracting Ray,SC,Spell Compendium,scorching ray,0.714
Divine Interdiction,SC,Spell Compendium,divine inspiration,0.757
Divine Protection,SC,Spell Compendium,divine inspiration,0.743
Dolorous Blow,SC,Spell Compendium,dolorous motes,0.741
Downdraft,SC,Spell Compendium,diamond spray,0.545
Dragon Ally,SC,Spell Compendium,draconic ally,0.833
"Dragon Ally, Greater",SC,Spell Compendium,"draconic ally, greater",0.905
"Dragon Ally, Lesser",SC,Spell Compendium,"draconic ally, lesser",0.9
Dream Casting,SC,Spell Compendium,reanimation,0.667
Dream Sight,SC,Spell Compendium,devil sight,0.727
Drown,SC,Spell Compendium,acid arrow,0.533
"Drown, Mass",SC,Spell Compendium,"darkvision, mass",0.741
Earth Lock,SC,Spell Compendium,telepathy block,0.72
Earth Reaver,SC,Spell Compendium,earth hammer,0.75
Earthen Grace,SC,Spell Compendium,earthen grasp,0.846
Earthfast,SC,Spell Compendium,earthbolt,0.667
Ebon Eyes,SC,Spell Compendium,fiery eyes,0.632
Echo Skull,SC,Spell Compendium,death knell,0.571
Effulgent Epuration,SC,Spell Compendium,enervation,0.621
Electric Jolt,SC,Spell Compendium,necrotic bloat,0.593
Electric Loop,SC,Spell Compendium,celestial blood,0.643
Elemental Body,SC,Spell Compendium,elemental ward,0.786
Energized Shield,SC,Spell Compendium,entropic shield,0.71
"Energized Shield, Lesser",SC,Spell Compendium,"fire shield, mass",0.585
Energy Spheres,SC,Spell Compendium,freezing sphere,0.69
Energy Transformation Field,SC,Spell Compendium,transformation,0.683
Enhance Wild Shape,SC,Spell Compendium,enhance familiar,0.647
"Enlarge Person, Greater",SC,Spell Compendium,"enlarge person, mass",0.791
Enrage Animal,SC,Spell Compendium,train animal,0.72
Eradicate Earth,SC,Spell Compendium,animate breath,0.69
Essence of the Raptor,SC,Spell Compendium,voice of the dragon,0.65
Ethereal Chamber,SC,Spell Compendium,ethereal jaunt,0.667
Ethereal Mount,SC,Spell Compendium,ethereal jaunt,0.857
Excavate,SC,Spell Compendium,reincarnate,0.632
Explosive Cascade,SC,Spell Compendium,explosive runes,0.688
Expose the Dead,SC,Spell Compendium,speak with dead,0.6
Extend Tentacles,SC,Spell Compendium,chilling tentacles,0.647
Extract Water Elemental,SC,Spell Compendium,summon greather elemental,0.625
Eye of the Hurricane,SC,Spell Compendium,eyes of the king,0.722
Eye of Power,SC,Spell Compendium,eye of stone,0.75
Faith healing,SC,Spell Compendium,insigna healing,0.643
Fantastic Machine,SC,Spell Compendium,phantasmal thief,0.606
"Fantastic Machine, Greater",SC,Spell Compendium,"planar exchange, greater",0.68
Favor of the Martyr,SC,Spell Compendium,glory of the martyr,0.842
Favorable Sacrifice,SC,Spell Compendium,divine sacrifice,0.686
Fearsome Grapple,SC,Spell Compendium,earthen grasp,0.621
Field of Icy Razors,SC,Spell Compendium,field of ghouls,0.647
Fierce Pride of the Beastlands,SC,Spell Compendium,fierce pride of beastlands,0.929
Find Temple,SC,Spell Compendium,find the gap,0.696
Fins to feet,SC,Spell Compendium,insightful feint,0.571
Fire Spiders,SC,Spell Compendium,fire seeds,0.727
Fire Stride,SC,Spell Compendium,tree stride,0.818
Firebrand,SC,Spell Compendium,fireball,0.706
Fireward,SC,Spell Compendium,fear,0.667
Fist of Stone,SC,Spell Compendium,hail of stone,0.769
Flame Dagger,SC,Spell Compendium,flame arrow,0.696
Flame Whips,SC,Spell Compendium,force whip,0.667
Flashburst,SC,Spell Compendium,sunburst,0.667
Fleshshiver,SC,Spell Compendium,flesh to stone,0.56
"Floating Disk, Greater",SC,Spell Compendium,floating disk,0.743
Force Chest,SC,Spell Compendium,forcecage,0.7
Force Claw,SC,Spell Compendium,forcecage,0.737
Force Ladder,SC,Spell Compendium,smoke ladder,0.75
Force Missiles,SC,Spell Compendium,magic missile,0.667
Forceward,SC,Spell Compendium,forcecage,0.667
Forcewave,SC,Spell Compendium,forcecage,0.778
Fortunate Fate,SC,Spell Compendium,create water,0.615
Foundation of Stone,SC,Spell Compendium,hail of stone,0.688
Freeze,SC,Spell Compendium,fire seeds,0.625
Frost Breath,SC,Spell Compendium,fire breath,0.783
Fugue,SC,Spell Compendium,refuge,0.727
Fuse Arms,SC,Spell Compendium,cause fear,0.632
G'Elsewhere Chant,SC,Spell Compendium,ethereal jaunt,0.581
Gembomb,SC,Spell Compendium,permeable form,0.476
Gemjump,SC,Spell Compendium,jump,0.727
General of Undeath,SC,Spell Compendium,veil of undeath,0.788
Ghostharp,SC,Spell Compendium,ghost trap,0.737
Giant's Wrath,SC,Spell Compendium,order's wrath,0.615
Girallon's Blessing,SC,Spell Compendium,insigna of blessing,0.632
Glass Strike,SC,Spell Compendium,flame strike,0.75
Glowing Orb,SC,Spell Compendium,wings of air,0.609
Grace,SC,Spell Compendium,grease,0.727
Graymantle,SC,Spell Compendium,starmantle,0.7
Great Thunderclap,SC,Spell Compendium,create undead,0.667
Ironguard,SC,Spell Compendium,iron scarf,0.632
Guiding Light,SC,Spell Compendium,dancing lights,0.741
Gutsnake,SC,Spell Compendium,snare,0.615
Hailstones,SC,Spell Compendium,hail of stone,0.783
Hand of the Faithful,SC,Spell Compendium,righteous wrath of the faithful,0.706
Hand of Divinity,SC,Spell Compendium,weapon of the deity,0.571
Hardening,SC,Spell Compendium,mending,0.625
"Haste, Swift",SC,Spell Compendium,haste. swift,0.917
Haunting Tune,SC,Spell Compendium,healing touch,0.615
Heal Animal Companion,SC,Spell Compendium,detect animals or plants,0.578
Healing Sting,SC,Spell Compendium,healing touch,0.692
Heartfire,SC,Spell Compendium,heart ripper,0.667
Heat Drain,SC,Spell Compendium,death dragon,0.727
Heatstroke,SC,Spell Compendium,haste,0.667
Heroics,SC,Spell Compendium,heroism,0.857
Hidden Lodge,SC,Spell Compendium,leomund's hidden lodge,0.706
Hide the Path,SC,Spell Compendium,find the path,0.846
Holy Mount,SC,Spell Compendium,heal mount,0.8
Holy Spurs,SC,Spell Compendium,holy aura,0.737
Holy Star,SC,Spell Compendium,holy storm,0.842
Holy Transformation,SC,Spell Compendium,transformation,0.848
"Holy Transformation, Lesser",SC,Spell Compendium,"restoration, lesser",0.696
Horrible Taste,SC,Spell Compendium,hellrime blast,0.571
Howling Chain,SC,Spell Compendium,helping hand,0.72
Hungry Gizzard,SC,Spell Compendium,hungry darkness,0.621
Hunter's Mercy,SC,Spell Compendium,sniper's eye,0.615
Hurl,SC,Spell Compendium,blur,0.5
Hypothermia,SC,Spell Compendium,hypnotism,0.6
Ice Axe,SC,Spell Compendium,ice blast,0.625
Ice Claw,SC,Spell Compendium,ice blast,0.706
Ice Dagger,SC,Spell Compendium,curse water,0.571
Ice Flowers,SC,Spell Compendium,cloudwalkers,0.609
Ice Gauntlet,SC,Spell Compendium,ghoul gauntlet,0.692
Icelance,SC,Spell Compendium,silence,0.667
Illusory Feast,SC,Spell Compendium,illusory pit,0.769
Incite,SC,Spell Compendium,silence,0.615
Indomitability,SC,Spell Compendium,invisibility,0.692
Infernal Transformation,SC,Spell Compendium,transformation,0.757
"Infernal Transformation, Lesser",SC,Spell Compendium,"restoration, lesser",0.68
Inferno,SC,Spell Compendium,infernal wound,0.667
Inhibit,SC,Spell Compendium,invisibility,0.632
Inky Cloud,SC,Spell Compendium,stinking cloud,0.75
Instant Refuge,SC,Spell Compendium,instant search,0.643
Interplanar Message,SC,Spell Compendium,planar exchange,0.647
Iron Bones,SC,Spell Compendium,iron body,0.737
Ironguts,SC,Spell Compendium,tongues,0.667
Ironthunder Horn,SC,Spell Compendium,summon hound archon,0.571
Jagged Tooth,SC,Spell Compendium,sharptooth,0.545
Jaws of the Wolf,SC,Spell Compendium,eyes of the avoral,0.647
Junglerazer,SC,Spell Compendium,erase,0.5
Jungle's Rapture,SC,Spell Compendium,locate creature,0.581
Kelpstrand,SC,Spell Compendium,restoration,0.571
Knight's Move,SC,Spell Compendium,night's caress,0.667
Know Greatest Enemy,SC,Spell Compendium,resist energy,0.562
Know Opponent,SC,Spell Compendium,arrow of bone,0.538
Know Vulnerabilities,SC,Spell Compendium,vulnerability,0.727
Land Womb,SC,Spell Compendium,blade storm,0.6
Launch Bolt,SC,Spell Compendium,earthbolt,0.6
Launch Item,SC,Spell Compendium,clenched fist,0.583
Lawful Sword,SC,Spell Compendium,holy sword,0.636
"Ironguard,  Lesser",SC,Spell Compendium,"geas, lesser",0.69
Life Bolt,SC,Spell Compendium,ice blast,0.667
Life Ward,SC,Spell Compendium,death ward,0.632
Life's Grace,SC,Spell Compendium,cat's grace,0.696
Lightfoot,SC,Spell Compendium,light,0.714
Lightning Ring,SC,Spell Compendium,lightning bolt,0.714
Lionheart,SC,Spell Compendium,lion's roar,0.6
Lion's Charge,SC,Spell Compendium,lion's roar,0.75
Lively Step,SC,Spell Compendium,time stop,0.6
Living Prints,SC,Spell Compendium,binding winds,0.615
Living Undeath,SC,Spell Compendium,blinding breath,0.69
Love's Lament,SC,Spell Compendium,master's lament,0.714
Loyal Vassal,SC,Spell Compendium,"fly, mass",0.571
Lucent Lance,SC,Spell Compendium,opalescent glare,0.643
Luminous Gaze,SC,Spell Compendium,luminous armor,0.741
Maelstrom,SC,Spell Compendium,melt,0.615
"Mage Armor, Mass",SC,Spell Compendium,mage armor,0.769
"Mage Hand, Greater",SC,Spell Compendium,"mage armor, greater",0.811
Magic Miasma,SC,Spell Compendium,magic aura,0.727
Make Manifest,SC,Spell Compendium,manifest desire,0.571
"Make Manifest, Mass",SC,Spell Compendium,"awaken, mass",0.645
Malevolent Miasma,SC,Spell Compendium,permanent image,0.562
Mantle of the Icy Soul,SC,Spell Compendium,mantle of evil,0.722
Manyjaws,SC,Spell Compendium,mantle of law,0.476
Mark of the Outcast,SC,Spell Compendium,mark of the hunter,0.757
Marked Object,SC,Spell Compendium,animate objects,0.714
Master Air,SC,Spell Compendium,master's lament,0.64
Master Earth,SC,Spell Compendium,move earth,0.727
Maw of Chaos,SC,Spell Compendium,mantle of chaos,0.815
Maw of Stone,SC,Spell Compendium,hail of stone,0.8
Memory Rot,SC,Spell Compendium,wood rot,0.556
Metal Melt,SC,Spell Compendium,cometfall,0.632
Miasma,SC,Spell Compendium,magnetism,0.533
Mind Poison,SC,Spell Compendium,poison,0.706
Minor Disguise,SC,Spell Compendium,minor image,0.72
Moon Blade,SC,Spell Compendium,flame blade,0.667
Moon Bolt,SC,Spell Compendium,wood rot,0.588
Moon Lust,SC,Spell Compendium,sound burst,0.6
Moon Path,SC,Spell Compendium,move earth,0.632
Moonbeam,SC,Spell Compendium,sunbeam,0.667
Moonbow,SC,Spell Compendium,bane bow,0.533
Moonfire,SC,Spell Compendium,demon dirge,0.632
Mountain Stance,SC,Spell Compendium,magic stone,0.615
Nature's Balance,SC,Spell Compendium,nature's avatar,0.71
Nature's Rampart,SC,Spell Compendium,nature's avatar,0.774
